Year,CMI_annual_sulphur
2022,-0.46
2021,4.70
2020,13.45
2019,-1.60
2018,-8.12
2017,3.86
2016,-10.64
2015,-5.23
2014,3.94
2013,11.56
2012,17.83
2011,6.88
2010,13.26
2009,2.48
2008,15.10
2007,1.70
2006,3.20
2005,-2.31
2004,-3.44
2003,-2.24
2002,-6.34
2001,3.94
2000,18.19
1999,14.29
1998,-3.51
1997,9.21
1996,4.18
1995,-1.24
1994,7.93
1993,3.03
1992,8.46
1991,13.11
1990,9.05
1989,-2.36
1988,17.93
1987,6.00
1986,1.95
1985,8.79
1984,3.29
1983,5.92
1982,5.82
1981,11.91
1980,0.66
1979,5.61
1978,6.93
1977,2.46
1976,7.48
1975,17.50
1974,13.31
1973,5.59
1972,5.85
1971,1.57
1970,6.16
1969,4.38
1968,16.19
1967,7.06
1966,6.15
1965,6.03
1964,6.67
1963,8.66
1962,9.76
1961,4.22
1960,7.77
1959,7.00
1958,-1.85
1957,-1.98
1956,8.60
1955,5.03
1954,13.17
1953,6.15
1952,8.06
1951,-4.05
1950,-5.32
1949,12.65
1948,4.18
1947,4.17
1946,
1945,
1944,
1943,
1942,
1941,
1940,
1939,
1938,
1937,
1936,
1935,
1934,
1933,
1932,
1931,
1930,
1929,
1928,
1927,
1926,
1925,
1924,
1923,
1922,
1921,
1920,
